province_state,country_region,date,confirmed,deaths,recovered,active,admin2
Mie,Japan,2021-02-17,2419,47,2202,170,
Miyagi,Japan,2021-02-17,3562,23,3411,128,
Miyazaki,Japan,2021-02-17,1934,20,1841,73,
Nagano,Japan,2021-02-17,2349,40,2305,4,
Nagasaki,Japan,2021-02-17,1588,36,1460,92,
Nara,Japan,2021-02-17,3236,46,3108,82,
Niigata,Japan,2021-02-17,1020,13,922,85,
Oita,Japan,2021-02-17,1271,18,1176,77,
Okayama,Japan,2021-02-17,2458,29,2300,129,
Okinawa,Japan,2021-02-17,8054,105,7574,375,
Osaka,Japan,2021-02-17,46248,1078,42918,2252,
Port Quarantine,Japan,2021-02-17,2200,2,2151,47,
Saga,Japan,2021-02-17,1006,8,979,19,
Saitama,Japan,2021-02-17,28141,490,25321,2330,
Shiga,Japan,2021-02-17,2348,40,2145,163,
Shimane,Japan,2021-02-17,286,0,274,12,
Shizuoka,Japan,2021-02-17,4904,91,4629,184,
Tochigi,Japan,2021-02-17,3991,61,3732,198,
Tokushima,Japan,2021-02-17,454,16,371,67,
Tokyo,Japan,2021-02-17,107567,1180,102184,4203,
Tottori,Japan,2021-02-17,208,2,194,12,
Toyama,Japan,2021-02-17,898,27,845,26,
Unknown,Japan,2021-02-17,8,0,8,0,
Wakayama,Japan,2021-02-17,1154,17,1065,72,
Yamagata,Japan,2021-02-17,534,15,493,26,
